activity,130 lb,155 lb,180 lb,205 lb,Calories per kg,avg_calories,calories_per_130lb,calories_per_155lb,calories_per_180lb,calories_per_205lb,intensity,activity_type,normalized_calories_per_kg,estimated_met
"Walking 3.5 mph, uphill",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
"Walking 4.0 mph, very brisk",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
Walking 4.5 mph,372.0,443.0,515.0,586.0,1.29713771940299,479.0,372.0,443.0,515.0,586.0,Unknown,Other,0.2906119194737908,6.842857142857143
Walking 5.0 mph,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Boating, power, speed boat",148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
"Canoeing, camping trip",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Canoeing, rowing, light",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Low,Cardio,0.0904923260912897,3.257142857142857
"Canoeing, rowing, moderate",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Moderate,Cardio,0.3330675702611123,7.603571428571429
"Canoeing, rowing, vigorous",708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,High,Cardio,0.63623679489735,13.035714285714286
"Crew, sculling, rowing, competition",708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,Unknown,Cardio,0.63623679489735,13.035714285714286
Kayaking,295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
Paddle boat,236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Windsurfing, sailing",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Sailing, competition",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
"Sailing, yachting, ocean sailing",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Skiing, water skiing",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
Ski mobiling,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Skin diving, fast",944.0,1126.0,1308.0,1489.0,3.29497352835821,1216.75,944.0,1126.0,1308.0,1489.0,High,Other,0.8788120390671723,17.382142857142856
"Skin diving, moderate",738.0,880.0,1022.0,1163.0,2.57464235223881,950.75,738.0,880.0,1022.0,1163.0,Moderate,Other,0.6667331074347235,13.582142857142856
"Skin diving, scuba diving",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
Snorkeling,295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
"Surfing, body surfing or board surfing",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Whitewater rafting, kayaking, canoeing",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
"Swimming laps, freestyle, fast",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,High,Other,0.5150488339645225,10.864285714285714
"Swimming laps, freestyle, slow",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Low,Other,0.3330675702611123,7.603571428571429
Swimming backstroke,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
Swimming breaststroke,590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Swimming butterfly,649.0,774.0,899.0,1024.0,2.2652519880597,836.5,649.0,774.0,899.0,1024.0,Unknown,Other,0.5756428144309348,11.95
"Swimming leisurely, not laps",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Low,Other,0.2722742674905326,6.514285714285714
Swimming sidestroke,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Swimming synchronized,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Swimming, treading water, fast, vigorous",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,High,Other,0.5150488339645225,10.864285714285714
"Swimming, treading water, moderate",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Moderate,Other,0.1510863065577038,4.342857142857143
"Water aerobics, water calisthenics",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Cardio,0.1510863065577038,4.342857142857143
Water polo,590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,Unknown,Other,0.5150488339645225,10.864285714285714
Water volleyball,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
Water jogging,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Diving, springboard or platform",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Ice skating, < 9 mph",325.0,387.0,449.0,512.0,1.13262599402985,418.25,325.0,387.0,449.0,512.0,Unknown,Other,0.2421765995614909,5.975
"Ice skating, average speed",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Ice skating, rapidly",531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Other,0.4542555311939398,9.775
"Speed skating, ice, competitive",885.0,1056.0,1226.0,1396.0,3.08916462089552,1140.75,885.0,1056.0,1226.0,1396.0,Unknown,Other,0.8182180586007572,16.29642857142857
"Cross country snow skiing, slow",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Low,Other,0.3330675702611123,7.603571428571429
"Cross country skiing, moderate",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Moderate,Other,0.393860873031692,8.692857142857143
"Cross country skiing, vigorous",531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,High,Other,0.4542555311939398,9.775
"Cross country skiing, racing",826.0,985.0,1144.0,1303.0,2.88267871044776,1064.5,826.0,985.0,1144.0,1303.0,High,Other,0.7574247558301774,15.207142857142856
"Cross country skiing, uphill",974.0,1161.0,1348.0,1536.0,3.39787798208955,1254.75,974.0,1161.0,1348.0,1536.0,Unknown,Other,0.9091090293003784,17.925
"Snow skiing, downhill skiing, light",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Low,Other,0.2118796093282847,5.432142857142857
"Downhill snow skiing, moderate",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Moderate,Other,0.2722742674905326,6.514285714285714
"Downhill snow skiing, racing",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,High,Other,0.393860873031692,8.692857142857143
"Sledding, tobagganing, luge",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
Snow shoeing,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Snowmobiling,207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
General housework,207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
Cleaning gutters,295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Other,0.2118796093282847,5.432142857142857
Painting,266.0,317.0,368.0,419.0,0.927494089552239,342.5,266.0,317.0,368.0,419.0,Unknown,Other,0.1817819413992427,4.892857142857143
"Sit, playing with animals",148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
"Walk / run, playing with animals",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Bathing dog,207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
"Mowing lawn, walk, power mower",325.0,387.0,449.0,512.0,1.13262599402985,418.25,325.0,387.0,449.0,512.0,Unknown,Other,0.2421765995614909,5.975
"Mowing lawn, riding mower",148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
"Walking, snow blower",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
"Riding, snow blower",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
Shoveling snow by hand,354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
Raking lawn,254.0,303.0,351.0,400.0,0.885519904477612,327.0,254.0,303.0,351.0,400.0,Unknown,Other,0.1694239585409608,4.671428571428572
"Gardening, general",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Bagging grass, leaves",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
Watering lawn or garden,89.0,106.0,123.0,140.0,0.310067367164179,114.5,89.0,106.0,123.0,140.0,Unknown,Other,0.0,1.6357142857142857
"Weeding, cultivating garden",266.0,317.0,368.0,419.0,0.927494089552239,342.5,266.0,317.0,368.0,419.0,Unknown,Other,0.1817819413992427,4.892857142857143
"Carpentry, general",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
Carrying heavy loads,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
Carrying moderate loads upstairs,472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Moderate,Other,0.393860873031692,8.692857142857143
General cleaning,207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Unknown,Other,0.1209886386286627,3.803571428571429
"Cleaning, dusting",148.0,176.0,204.0,233.0,0.515199271641791,190.25,148.0,176.0,204.0,233.0,Unknown,Other,0.0603946581622484,2.717857142857143
Taking out trash,177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Unknown,Other,0.0904923260912897,3.257142857142857
"Walking, pushing a wheelchair",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Teach physical education,exercise class",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Unknown,Other,0.1510863065577038,4.342857142857143
"Basketball, shooting baskets (var 7)",238.03,330.73,409.38,469.69,0.97,308.71,294.88,354.9,383.22,470.01,Unknown,Other,0.18,4.42
"Running, 8.6 mph (7 min mile) (var 29)",899.38,947.68,1098.71,1362.32,2.72,1007.2,811.05,1037.55,1287.26,1167.18,Unknown,Cardio,0.79,13.03
"Standing, playing with children, light (var 49)",182.04,219.29,205.44,263.55,0.63,188.29,186.43,170.19,208.17,278.19,Low,Other,0.07,2.87
Ski mobiling (var 13),434.45,512.57,572.99,571.29,1.27,564.61,452.9,521.39,585.26,665.31,Unknown,Other,0.31,7.01
"Climbing hills, carrying 10 to 20 lb (var 84)",476.82,468.73,653.12,690.66,1.63,524.03,452.85,517.65,666.93,795.2,Unknown,Other,0.36,9.13
Hacky sack (var 83),230.79,282.28,362.03,348.19,0.94,347.88,226.65,244.64,309.99,390.83,Unknown,Other,0.15,4.0
"Hiking, cross country (var 29)",325.63,378.94,535.73,602.05,1.14,468.33,405.92,462.48,520.52,541.11,Unknown,Other,0.26,6.96
"Canoeing, rowing, moderate (var 98)",375.0,496.22,595.23,650.24,1.62,554.38,420.79,423.19,588.97,560.54,Moderate,Cardio,0.31,7.82
"Walk/run, playing with children, moderate (var 4)",213.84,302.19,332.53,317.98,0.83,333.68,252.57,264.04,285.12,405.44,Moderate,Other,0.17,4.31
Squash (var 13),771.59,943.88,870.78,1002.18,2.65,807.69,781.67,765.46,1015.32,1141.35,Unknown,Other,0.55,11.89
"Swimming leisurely, not laps (var 5)",380.61,462.06,442.57,530.87,1.4,497.1,372.18,359.15,476.39,567.15,Low,Other,0.27,5.87
"Stationary cycling, light (var 63)",278.37,435.17,512.83,443.39,1.09,454.05,369.99,365.58,434.92,476.05,Low,Cardio,0.23,5.62
"Horseback riding, walking (var 35)",139.68,160.28,179.42,217.35,0.45,166.16,141.49,165.67,221.5,255.05,Unknown,Other,0.07,2.73
"Racquetball, competitive (var 92)",574.87,735.77,848.73,897.59,2.02,666.02,532.74,640.29,806.58,820.41,Unknown,Other,0.45,9.28
"Golf, walking and pulling clubs (var 36)",254.26,269.85,382.91,372.45,0.89,333.11,231.35,315.56,310.74,442.47,Unknown,Other,0.19,5.12
Walking the dog (var 40),192.56,191.89,208.61,288.11,0.61,211.98,165.08,240.9,227.64,267.81,Unknown,Other,0.1,3.19
"Walking 2.0 mph, slow (var 34)",165.82,154.94,192.91,228.27,0.45,183.09,127.18,197.5,230.37,257.19,Low,Other,0.05,2.4
Walking downstairs (var 90),173.86,198.27,214.36,267.03,0.59,195.56,182.89,223.48,278.09,262.76,Unknown,Other,0.1,3.41
"Skin diving, scuba diving (var 58)",425.51,434.92,539.38,576.18,1.49,493.95,381.3,481.4,538.74,711.87,Unknown,Other,0.37,8.73
Cleaning gutters (var 46),323.72,375.99,361.81,472.14,1.05,375.7,324.2,326.93,351.91,450.34,Unknown,Other,0.22,6.12
"Playing basketball, non game (var 1)",364.85,481.64,465.66,604.98,1.11,394.18,310.94,444.79,562.37,538.05,Unknown,Other,0.31,6.62
"Track and field (high jump, pole vault) (var 66)",352.57,480.73,418.42,572.11,1.37,429.59,402.16,429.11,434.63,490.24,High,Other,0.31,5.64
"Golf, walking and carrying clubs (var 21)",248.01,311.2,397.92,390.88,0.84,299.8,301.85,355.42,420.28,477.84,Unknown,Other,0.17,4.68
"Rowing machine, vigorous (var 3)",483.11,536.86,726.19,875.61,1.71,561.75,434.83,509.58,678.54,878.25,High,Cardio,0.36,9.91
Pushing stroller or walking with children (var 90),151.62,153.05,195.59,233.03,0.44,192.89,144.2,171.24,198.95,226.32,Unknown,Other,0.07,2.56
Swimming backstroke (var 10),369.67,536.84,567.1,689.9,1.64,595.85,409.39,522.0,585.49,603.51,Unknown,Other,0.34,6.94
"Snow skiing, downhill skiing, light (var 42)",296.34,355.26,449.2,398.67,1.18,394.41,257.21,315.71,393.07,426.74,Low,Other,0.23,5.12
Croquet (var 42),138.82,165.08,208.52,203.92,0.55,190.19,126.24,150.13,228.11,266.94,Unknown,Other,0.05,2.51
"Running, training, pushing wheelchair (var 74)",476.33,490.91,588.3,767.72,1.71,640.03,420.43,629.74,632.14,830.9,Unknown,Cardio,0.41,8.59
"Ballroom dancing, slow (var 95)",175.04,185.12,229.75,238.26,0.64,254.48,197.89,220.7,215.43,251.37,Low,Cardio,0.09,3.34
"Running, 6.7 mph (9 min mile) (var 59)",629.81,658.18,871.08,932.26,2.13,769.62,704.37,805.12,799.37,1092.89,Unknown,Cardio,0.56,10.28
Croquet (var 54),133.64,153.65,229.22,199.7,0.51,199.72,167.93,178.23,203.72,252.36,Unknown,Other,0.05,2.95
"Track and field (shot, discus) (var 42)",214.86,249.63,306.71,426.6,0.72,345.56,231.47,319.37,325.58,407.11,Unknown,Other,0.16,3.78
Stair machine (var 63),606.77,622.8,664.29,828.26,1.75,781.56,581.05,665.96,770.35,858.45,Unknown,Other,0.39,9.04
"Running, 5 mph (12 minute mile) (var 69)",478.62,563.57,573.31,691.42,1.47,697.71,501.85,535.69,602.44,798.3,Unknown,Cardio,0.39,8.56
"Walking 3.5 mph, brisk pace (var 34)",199.27,282.42,266.34,322.48,0.83,287.09,257.47,256.64,332.13,345.14,Unknown,Other,0.13,3.99
Squash (var 64),740.65,749.74,844.86,1249.35,2.54,814.33,669.67,817.24,834.95,955.26,Unknown,Other,0.73,11.48
Track and field (hurdles) (var 16),510.72,723.65,732.94,883.68,2.21,857.16,625.56,732.12,736.1,996.88,Unknown,Other,0.49,9.76
"Boxing, in ring (var 21)",706.65,840.16,994.31,1173.9,2.64,1030.67,620.84,904.9,943.1,1266.28,Unknown,Other,0.63,13.55
"Running, stairs, up (var 58)",809.95,1145.74,1374.56,1332.0,2.83,1095.5,893.41,1131.18,1072.79,1571.48,Unknown,Cardio,0.73,16.59
Painting (var 48),286.74,348.19,397.28,436.31,1.05,329.4,300.33,347.71,326.68,409.13,Unknown,Other,0.19,5.2
"Cross country skiing, racing (var 18)",899.54,932.07,1203.9,1384.57,3.19,1130.45,775.15,1111.88,1218.07,1432.96,High,Other,0.79,17.44
"Climbing hills, carrying over 42 lb (var 45)",587.02,623.21,755.69,875.75,1.9,663.63,457.72,594.51,714.58,831.55,Unknown,Other,0.45,10.82
Gymnastics (var 66),201.08,312.03,314.1,325.87,0.71,265.39,220.09,266.74,280.53,384.01,Unknown,Other,0.17,4.02
"Frisbee playing, general (var 54)",199.29,188.47,243.05,272.67,0.61,212.54,155.31,189.72,239.66,250.74,Unknown,Other,0.08,2.87
"Calisthenics, light (var 94)",179.79,233.19,288.19,289.32,0.66,244.52,229.19,231.98,276.45,284.82,Low,Strength,0.11,4.27
"Horesback riding, saddling horse (var 87)",182.53,223.72,259.93,289.12,0.62,246.78,228.37,267.36,264.26,336.2,Unknown,Other,0.12,3.25
"Climbing hills, carrying over 42 lb (var 70)",588.99,562.27,826.64,825.9,1.87,662.49,553.96,558.99,693.88,757.56,Unknown,Other,0.43,9.57
Curling (var 73),240.4,259.55,308.3,364.7,0.71,342.37,269.96,289.94,293.35,354.68,Unknown,Other,0.14,4.16
"Crew, sculling, rowing, competition (var 41)",664.28,878.62,1052.33,1188.01,2.67,820.98,683.6,909.99,1123.71,1112.24,Unknown,Cardio,0.65,14.34
Ski mobiling (var 5),360.14,484.68,645.75,732.48,1.47,595.97,416.68,455.83,612.23,693.28,Unknown,Other,0.31,7.7
"Cycling, mountain bike, bmx (var 81)",553.14,509.88,627.07,889.65,1.68,680.33,478.84,618.05,728.71,784.65,Unknown,Cardio,0.44,9.39
"Rowing machine, light (var 54)",193.65,270.04,288.85,296.05,0.64,283.07,222.34,244.89,301.94,333.29,Low,Cardio,0.13,3.92
Swimming butterfly (var 14),729.03,745.7,979.52,1047.56,2.47,716.19,670.78,758.06,997.25,1022.77,Unknown,Other,0.58,12.77
"Running, 5 mph (12 minute mile) (var 61)",526.15,627.84,565.15,813.95,1.41,656.43,430.48,546.92,602.62,718.91,Unknown,Cardio,0.41,9.99
Water jogging (var 16),431.49,590.71,737.51,739.21,1.73,684.81,481.85,530.55,656.57,834.84,Unknown,Other,0.44,9.67
Shoveling snow by hand (var 13),373.25,459.59,438.11,625.07,1.24,488.24,360.98,443.37,510.8,504.66,Unknown,Other,0.3,7.37
Water polo (var 1),549.61,727.7,915.65,1061.78,2.15,751.34,549.72,756.84,880.87,873.51,Unknown,Other,0.46,10.92
"Running, 6.7 mph (9 min mile) (var 35)",653.15,868.49,854.44,1019.39,2.16,935.37,723.47,664.68,931.6,970.55,Unknown,Cardio,0.51,12.77
"Aerobics, low impact (var 49)",328.3,308.59,468.95,516.64,1.17,333.6,334.3,325.94,451.56,459.72,Unknown,Cardio,0.22,5.24
Playing volleyball (var 36),155.67,228.32,246.4,247.03,0.7,216.81,190.46,218.82,233.46,248.42,Unknown,Other,0.09,3.26
Snorkeling (var 53),257.69,321.91,407.79,404.19,1.03,338.13,295.59,373.64,414.83,499.06,Unknown,Other,0.19,5.82
"Coaching: football, basketball, soccer… (var 68)",224.48,307.87,326.42,390.55,0.94,311.1,257.9,253.55,321.19,320.95,Unknown,Other,0.17,4.01
Darts (wall or lawn) (var 87),143.44,156.35,214.78,216.35,0.44,174.43,162.09,150.83,229.23,256.98,Unknown,Other,0.05,2.95
Playing tennis (var 42),425.82,427.12,580.96,714.96,1.6,459.82,423.27,487.16,616.79,734.41,Unknown,Other,0.32,8.42
"Cross country skiing, uphill (var 43)",978.94,1198.03,1374.37,1637.91,3.57,1213.18,874.55,1327.15,1459.23,1351.54,Unknown,Other,0.93,17.27
"Stationary cycling, vigorous (var 62)",683.4,694.62,924.01,879.03,1.96,776.43,671.12,763.65,729.95,959.75,High,Cardio,0.53,12.6
"Sledding, tobagganing, luge (var 74)",428.31,467.32,604.21,554.16,1.39,608.56,383.12,556.61,653.47,554.64,Unknown,Other,0.29,8.36
"Running, on a track, team practice (var 97)",526.25,639.93,902.19,875.07,2.23,767.28,673.36,715.75,847.21,827.63,Unknown,Cardio,0.52,11.48
"Walk/run, playing with children, moderate (var 38)",257.86,246.37,309.04,395.56,0.84,280.53,221.16,279.95,359.78,362.22,Moderate,Other,0.13,4.99
"Ice skating, average speed (var 61)",417.55,501.29,548.66,598.28,1.24,509.28,384.67,562.35,536.86,668.7,Unknown,Other,0.37,8.07
"Mowing lawn, riding mower (var 54)",132.8,200.88,173.96,265.02,0.53,167.89,139.4,154.95,205.21,247.29,Unknown,Other,0.07,2.58
"Martial arts, kick boxing (var 33)",512.53,779.27,892.62,1005.05,1.99,685.35,512.34,628.93,921.29,809.29,Unknown,Other,0.58,10.99
"Rowing machine, vigorous (var 40)",556.01,590.49,596.72,742.28,1.6,574.01,429.71,636.85,737.23,900.78,High,Cardio,0.39,9.49
"Stationary cycling, very vigorous (var 91)",761.15,945.56,882.5,1028.04,2.37,971.84,631.77,892.53,1038.68,1066.23,High,Cardio,0.59,13.57
"Carrying infant, upstairs (var 72)",324.01,371.04,428.66,401.47,0.91,390.02,301.46,345.5,366.4,424.83,Unknown,Other,0.22,5.83
Jai alai (var 75),681.32,863.24,886.3,964.11,2.27,1007.1,617.87,851.27,1087.38,1134.01,Unknown,Other,0.7,14.17
Bathing dog (var 73),235.12,247.3,276.28,334.0,0.73,260.37,226.49,248.41,300.99,277.62,Unknown,Other,0.12,3.98
"Cricket (batting, bowling) (var 20)",287.87,398.31,398.52,485.91,1.17,399.19,325.59,306.33,370.67,493.75,Unknown,Other,0.19,5.58
"Golf, walking and carrying clubs (var 95)",261.35,359.73,354.22,369.05,0.96,322.94,263.28,283.1,394.07,411.84,Unknown,Other,0.21,4.28
"Swimming, treading water, fast, vigorous (var 5)",545.74,790.79,815.84,977.57,1.83,800.06,651.02,755.54,830.89,944.04,High,Other,0.51,11.63
Walking the dog (var 72),163.24,226.7,225.48,292.57,0.62,211.7,191.95,240.67,241.17,305.64,Unknown,Other,0.1,3.74
Wallyball (var 41),403.46,423.15,615.9,560.46,1.36,589.49,354.13,495.12,641.31,728.78,Unknown,Other,0.28,6.49
"Martial arts, tae kwan do (var 97)",622.13,715.0,903.09,986.41,1.91,805.32,502.87,606.93,923.87,946.99,Unknown,Other,0.58,9.75
"Cross country snow skiing, slow (var 97)",423.33,550.8,634.45,613.39,1.3,568.25,419.34,428.84,501.82,688.69,Low,Other,0.32,7.25
"Running, 6 mph (10 min mile) (var 93)",604.96,803.74,846.3,1014.61,2.05,843.46,656.44,774.66,730.64,811.55,Unknown,Cardio,0.47,11.91
Race walking (var 27),328.79,468.74,527.35,584.1,1.29,544.45,341.37,412.21,558.03,676.71,Unknown,Other,0.33,6.76
"Sledding, tobagganing, luge (var 54)",389.78,441.34,571.99,558.27,1.28,560.35,465.11,471.47,625.46,621.87,Unknown,Other,0.35,6.73
"Volleyball, beach (var 62)",542.4,488.68,694.88,703.39,1.58,576.22,509.1,596.81,583.84,697.75,Unknown,Other,0.35,7.62
"Running, 8.6 mph (7 min mile) (var 38)",887.17,1053.35,1234.43,1335.39,2.95,981.29,768.55,911.76,1108.21,1251.53,Unknown,Cardio,0.64,17.45
"Walking 4.0 mph, very brisk (var 97)",286.18,371.45,364.93,399.15,1.04,327.59,280.92,328.48,430.42,507.92,Unknown,Other,0.21,5.99
"Jumping rope, moderate (var 78)",672.75,778.18,741.11,985.49,2.05,781.33,600.82,779.74,717.1,992.64,Moderate,Other,0.46,9.53
"Cross country skiing, racing (var 7)",810.49,899.2,1259.96,1274.69,2.66,987.85,712.76,850.91,1065.3,1287.29,High,Other,0.73,15.58
Health club exercise (var 8),337.82,369.36,468.31,537.26,1.27,437.58,364.91,335.84,438.64,567.25,Unknown,Other,0.24,6.36
"Boating, power, speed boat (var 84)",164.23,168.39,198.83,241.06,0.44,177.1,134.17,195.16,209.93,228.4,Unknown,Other,0.07,2.85
Polo (var 13),489.76,623.09,687.14,728.75,1.61,577.43,442.99,511.96,725.25,646.55,Unknown,Other,0.42,8.69
"Hockey, field hockey (var 18)",460.24,614.96,646.04,724.05,1.64,623.55,498.84,548.1,644.32,799.07,Unknown,Other,0.43,8.6
Bathing dog (var 49),181.23,223.23,280.32,286.22,0.74,273.88,233.64,273.67,303.13,289.48,Unknown,Other,0.13,4.29
"Carrying 16 to 24 lbs, upstairs (var 39)",330.19,450.23,478.05,620.64,1.14,396.08,347.19,415.95,504.39,511.37,Unknown,Other,0.3,6.05
Water jogging (var 55),493.45,522.8,699.82,791.03,1.41,616.44,475.08,573.14,687.55,711.2,Unknown,Other,0.41,9.04
"Running, 6.7 mph (9 min mile) (var 92)",644.84,811.17,845.33,1143.79,2.42,849.4,693.63,691.14,774.84,906.38,Unknown,Cardio,0.66,11.89
Walking using crutches (var 8),260.71,322.38,423.31,506.0,0.92,404.55,321.49,319.57,365.56,422.1,Unknown,Other,0.19,5.93
"Walk/run, playing with children, moderate (var 3)",242.92,266.7,337.29,341.45,0.84,289.48,250.45,284.4,343.19,344.14,Moderate,Other,0.17,4.64
"Aerobics, high impact (var 93)",369.51,430.42,581.58,587.58,1.58,563.84,382.46,557.64,590.98,650.29,High,Cardio,0.37,8.32
Water volleyball (var 54),199.66,232.93,272.32,272.74,0.55,221.33,169.23,203.25,277.02,267.31,Unknown,Other,0.1,3.7
